,Run,SRA,Model,Assay,LibrarySelection,Class,Part.of.microRNAOme.1,CellType,batch.used.in.the.normalization.approaches,group.used.in.the.normalization.approaches,Total_reads,Total.Filtered.reads,Trimmed.Reads..unique.,All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin.miRNAs.Reads,mature.tRNA.Reads,primary.tRNA.Reads,snoRNA.Reads,rRNA.Reads,Other.ncRNA.reads,mRNA.Reads,Remaining.Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
SRR6696840,SRR6696840,SRP132514,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Epithelial,No,Melanocyte,131.0,31.0,5113948.0,4291595.0,245641.0,2955419.0,2935429.0,563.0,1802.0,383861.0,10881.0,90216.0,168038.0,114163.0,25082.0,542133.0,SRX3671088,PRJNA433554,SRS2932399,SAMN08502477,GEO,-,-
SRR6246340,SRR6246340,SRP123465,NextSeq 500,miRNA-Seq,size fractionation,Epithelial,No,Keratinocyte,136.0,28.0,2928745.0,2571778.0,343828.0,232344.0,229111.0,375.0,1637.0,218276.0,1184.0,50363.0,1446124.0,42780.0,168629.0,410441.0,SRX3353424,PRJNA416912,SRS2652625,SAMN07967381,GEO,DOI: 10.3389/fendo.2018.00535,30258405
SRR6246343,SRR6246343,SRP123465,NextSeq 500,miRNA-Seq,size fractionation,Epithelial,No,Keratinocyte,136.0,28.0,2629678.0,2559078.0,178149.0,77789.0,76154.0,268.0,193.0,1296268.0,3.0,1863.0,619377.0,254483.0,13116.0,295986.0,SRX3353425,PRJNA416912,SRS2652626,SAMN07967382,GEO,DOI: 10.3389/fendo.2018.00535,30258405
SRR11459561,SRR11459561,SRP254789,Illumina NovaSeq 6000,ncRNA-Seq,size fractionation,Muscle,No,Myoblast,64.0,37.0,35490243.0,31149088.0,408022.0,17977827.0,17916208.0,901.0,51444.0,1217093.0,490357.0,4244657.0,1799305.0,2167653.0,154287.0,3046465.0,SRX8036897,PRJNA622247,SRS6409132,SAMN14503156,GEO,DOI: 10.1038/s41598-021-82706-2,33568691
SRR11459562,SRR11459562,SRP254789,Illumina NovaSeq 6000,ncRNA-Seq,size fractionation,Muscle,No,Myoblast,64.0,37.0,30529382.0,22467099.0,339077.0,8012328.0,7984324.0,758.0,22427.0,1723420.0,208503.0,3846041.0,2905579.0,2324557.0,464850.0,2959394.0,SRX8036898,PRJNA622247,SRS6409134,SAMN14503155,GEO,DOI: 10.1038/s41598-021-82706-2,33568691
SRR11459563,SRR11459563,SRP254789,Illumina NovaSeq 6000,ncRNA-Seq,size fractionation,Muscle,No,Myoblast,64.0,37.0,41912784.0,36001598.0,530838.0,21781807.0,21740796.0,930.0,37463.0,2072890.0,403156.0,3727631.0,2444720.0,2409127.0,690468.0,2434336.0,SRX8036899,PRJNA622247,SRS6409135,SAMN14503154,GEO,DOI: 10.1038/s41598-021-82706-2,33568691
SRR11459564,SRR11459564,SRP254789,Illumina NovaSeq 6000,ncRNA-Seq,size fractionation,Muscle,No,Myoblast,64.0,37.0,44219941.0,38755993.0,534618.0,19821028.0,19782093.0,917.0,39482.0,2306377.0,371832.0,5464300.0,3422811.0,3283074.0,700086.0,3347003.0,SRX8036900,PRJNA622247,SRS6409136,SAMN14503153,GEO,DOI: 10.1038/s41598-021-82706-2,33568691
SRR5220020,SRR5220020,SRP098650,Illumina MiSeq,ncRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,24.0,9.0,941963.0,941958.0,70256.0,90489.0,90028.0,262.0,1836.0,535803.0,71.0,1390.0,154724.0,19348.0,9433.0,128864.0,SRX2529980,PRJNA369400,SRS1950882,SAMN06285165,GEO,-,-
SRR5220021,SRR5220021,SRP098650,Illumina MiSeq,ncRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,24.0,9.0,1355534.0,1355528.0,85536.0,99987.0,99388.0,261.0,2354.0,870093.0,88.0,2057.0,163784.0,26479.0,11382.0,179304.0,SRX2529981,PRJNA369400,SRS1950883,SAMN06285164,GEO,-,-
SRR5220022,SRR5220022,SRP098650,Illumina MiSeq,ncRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,24.0,9.0,1156309.0,1156304.0,71806.0,80852.0,80389.0,264.0,2012.0,728958.0,61.0,1436.0,159095.0,27879.0,9311.0,146700.0,SRX2529982,PRJNA369400,SRS1950884,SAMN06285163,GEO,-,-
SRR8478257,SRR8478257,SRP181655,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Brain,No,Neuron,31.0,38.0,30140793.0,30140793.0,2284439.0,8332639.0,7676726.0,677.0,17067.0,2417408.0,28215.0,2063219.0,2597584.0,3658056.0,146418.0,10880187.0,SRX5283412,PRJNA516662,SRS4283160,SAMN10793659,GEO,DOI: 10.1038/s41422-019-0152-9,30814679
SRR5755823,SRR5755823,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD19_lymphocyte,158.0,4.0,1233212.0,999875.0,23385.0,56138.0,55658.0,169.0,25.0,7817.0,40.0,24067.0,12718.0,10830.0,1774.0,886466.0,SRX2956003,PRJNA391912,SRS2313206,SAMN07277884,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755824,SRR5755824,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD56_cell,158.0,13.0,3162265.0,1521018.0,51668.0,491731.0,490315.0,314.0,348.0,34942.0,45.0,41749.0,71200.0,24872.0,3318.0,852813.0,SRX2956004,PRJNA391912,SRS2313207,SAMN07277880,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755825,SRR5755825,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158.0,49.0,3204336.0,1563144.0,22192.0,973090.0,972505.0,255.0,529.0,3312.0,1.0,257.0,3720.0,30023.0,419.0,551793.0,SRX2956005,PRJNA391912,SRS2313208,SAMN07277879,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755830,SRR5755830,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD19_lymphocyte,158.0,4.0,3509907.0,1801635.0,73707.0,265883.0,264351.0,284.0,130.0,36824.0,143.0,101208.0,88222.0,116662.0,6449.0,1186114.0,SRX2956010,PRJNA391912,SRS2313213,SAMN07277874,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755831,SRR5755831,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD56_cell,158.0,13.0,3138913.0,2756806.0,110531.0,1077029.0,1074795.0,410.0,699.0,124941.0,38.0,59615.0,244935.0,198290.0,16674.0,1034585.0,SRX2956011,PRJNA391912,SRS2313214,SAMN07277873,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755833,SRR5755833,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD4_lymphocyte,158.0,4.0,3391642.0,2945854.0,163078.0,1497256.0,1492802.0,420.0,1538.0,369041.0,267.0,517706.0,170932.0,164419.0,21172.0,203523.0,SRX2956013,PRJNA391912,SRS2313216,SAMN07277871,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755834,SRR5755834,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD8_lymphocyte,158.0,4.0,1770395.0,1367021.0,50960.0,163232.0,161582.0,231.0,169.0,56260.0,33.0,55611.0,40711.0,21116.0,3360.0,1026529.0,SRX2956014,PRJNA391912,SRS2313217,SAMN07277870,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR4027402,SRR4027402,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,iPSC_foreskin,157.0,7.0,2518169.0,2407703.0,175792.0,713468.0,710525.0,581.0,7620.0,245529.0,2265.0,85801.0,815173.0,280509.0,34349.0,222989.0,SRX2019336,PRJNA338817,SRS1614933,SAMN05559244,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027403,SRR4027403,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,iPSC_foreskin,157.0,7.0,8339722.0,7606196.0,406626.0,3513519.0,3480980.0,953.0,45700.0,420987.0,63831.0,225629.0,1901164.0,487158.0,99257.0,848951.0,SRX2019337,PRJNA338817,SRS1615069,SAMN05559245,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027404,SRR4027404,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,iPSC_foreskin,157.0,7.0,3327306.0,3063185.0,194989.0,1475291.0,1466284.0,837.0,11226.0,272882.0,11711.0,95169.0,463292.0,408036.0,35740.0,289838.0,SRX2019338,PRJNA338817,SRS1614934,SAMN05559250,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027406,SRR4027406,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,iPSC_foreskin,157.0,7.0,2164061.0,2105767.0,110673.0,1427409.0,1425476.0,682.0,3043.0,181513.0,3252.0,35562.0,189671.0,129713.0,7607.0,127997.0,SRX2019340,PRJNA338817,SRS1614935,SAMN05559251,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027407,SRR4027407,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,iPSC_foreskin,157.0,7.0,4593773.0,4258718.0,308155.0,1876264.0,1870668.0,808.0,4396.0,257876.0,9040.0,134204.0,947138.0,560631.0,34773.0,434396.0,SRX2019341,PRJNA338817,SRS1614949,SAMN05559252,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027408,SRR4027408,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,iPSC_foreskin,157.0,7.0,3996221.0,3614532.0,226119.0,1376641.0,1372179.0,753.0,8171.0,295621.0,4069.0,131510.0,1049921.0,376968.0,43153.0,328478.0,SRX2019342,PRJNA338817,SRS1614956,SAMN05559253,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027409,SRR4027409,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,iPSC_skin,157.0,7.0,5277169.0,5097405.0,184198.0,4129067.0,4124519.0,873.0,8434.0,166334.0,10248.0,69106.0,245222.0,214256.0,14902.0,239836.0,SRX2019343,PRJNA338817,SRS1614975,SAMN05559261,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027410,SRR4027410,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,iPSC_skin,157.0,7.0,4204697.0,4040237.0,155093.0,3260455.0,3255568.0,856.0,5676.0,128864.0,10826.0,60970.0,210002.0,161654.0,13015.0,188775.0,SRX2019344,PRJNA338817,SRS1614936,SAMN05559265,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027411,SRR4027411,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,iPSC_foreskin,157.0,7.0,1790153.0,1662234.0,158853.0,910837.0,902918.0,633.0,12221.0,89334.0,10629.0,48871.0,219294.0,104787.0,23311.0,242950.0,SRX2019345,PRJNA338817,SRS1614993,SAMN05559285,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027412,SRR4027412,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,iPSC_foreskin,157.0,7.0,3153267.0,3045284.0,187520.0,1122956.0,1119311.0,682.0,10817.0,447969.0,5502.0,110826.0,615098.0,436676.0,26585.0,268855.0,SRX2019346,PRJNA338817,SRS1614958,SAMN05559289,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR3344712,SRR3344712,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,2541340.0,1951404.0,148805.0,544580.0,540309.0,412.0,1923.0,181205.0,1410.0,155523.0,612167.0,147873.0,31713.0,275010.0,SRX1685650,PRJNA317629,SRS1380768,SAMN04622556,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344682,SRR3344682,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,2922831.0,2693768.0,177928.0,1331686.0,1325252.0,482.0,2838.0,416021.0,1817.0,91328.0,533646.0,90251.0,31515.0,194666.0,SRX1685635,PRJNA317629,SRS1380674,SAMN04622541,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344698,SRR3344698,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,1246081.0,1073414.0,89883.0,370020.0,368366.0,367.0,1093.0,74755.0,652.0,104870.0,294312.0,106289.0,18786.0,102637.0,SRX1685643,PRJNA317629,SRS1380776,SAMN04622549,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344701,SRR3344701,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,1711919.0,1576193.0,108339.0,519137.0,517290.0,380.0,1391.0,116260.0,1441.0,131434.0,433436.0,224081.0,32922.0,116091.0,SRX1685645,PRJNA317629,SRS1380773,SAMN04622551,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344725,SRR3344725,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,1665564.0,1334788.0,125046.0,720123.0,708316.0,423.0,859.0,39815.0,1609.0,51178.0,230238.0,54972.0,11151.0,224843.0,SRX1685657,PRJNA317629,SRS1380761,SAMN04622564,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344713,SRR3344713,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,1986611.0,1725321.0,128572.0,515828.0,513246.0,392.0,1715.0,130072.0,1272.0,141119.0,610016.0,139416.0,31474.0,154409.0,SRX1685651,PRJNA317629,SRS1380766,SAMN04622557,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344687,SRR3344687,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,2129463.0,1929268.0,139506.0,493712.0,482085.0,365.0,1026.0,64858.0,880.0,130864.0,339144.0,173127.0,18324.0,707333.0,SRX1685638,PRJNA317629,SRS1380671,SAMN04622544,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344719,SRR3344719,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,1562941.0,1132585.0,98232.0,353718.0,349953.0,352.0,726.0,34126.0,1083.0,78035.0,442317.0,77764.0,18958.0,125858.0,SRX1685654,PRJNA317629,SRS1380764,SAMN04622561,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344694,SRR3344694,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,495760.0,427293.0,40559.0,141974.0,141317.0,248.0,292.0,38346.0,328.0,40002.0,73815.0,79202.0,6918.0,46416.0,SRX1685641,PRJNA317629,SRS1380777,SAMN04622547,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR3344677,SRR3344677,SRP072979,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Immune,No,Dendritic_cell,153.0,11.0,2347112.0,1982103.0,143016.0,1135107.0,1130397.0,447.0,2108.0,163093.0,2415.0,68963.0,356809.0,73051.0,22656.0,157901.0,SRX1685633,PRJNA317629,SRS1380676,SAMN04622539,GEO,DOI: 10.3389/fmicb.2017.00270,28280489
SRR1636959,SRR1636959,SRP049449,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,SRR1636959,Embryonic_stem_cell_H7,112.0,7.0,8779535.0,5572816.0,281803.0,3619585.0,3609255.0,580.0,2545.0,465047.0,4496.0,211495.0,503204.0,164491.0,123519.0,478434.0,SRX749222,PRJNA266045,SRS735201,SAMN03158665,GEO,DOI: 10.1073/pnas.1424042112,25964336
SRR1636960,SRR1636960,SRP049449,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H7,112.0,7.0,6636021.0,5498651.0,238894.0,3814384.0,3805627.0,592.0,2851.0,525625.0,5644.0,128948.0,389120.0,98689.0,178249.0,355141.0,SRX749223,PRJNA266045,SRS735202,SAMN03158682,GEO,DOI: 10.1073/pnas.1424042112,25964336
SRR1636961,SRR1636961,SRP049449,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H7,112.0,7.0,6089773.0,5512935.0,221529.0,4066348.0,4058344.0,596.0,2753.0,461636.0,5139.0,94539.0,329590.0,87245.0,156502.0,309183.0,SRX749224,PRJNA266045,SRS735203,SAMN03158686,GEO,DOI: 10.1073/pnas.1424042112,25964336
SRR1636962,SRR1636962,SRP049449,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H7,112.0,7.0,8833817.0,8231338.0,203344.0,6675764.0,6667497.0,768.0,9632.0,294985.0,28160.0,253661.0,329969.0,186545.0,64348.0,388274.0,SRX749225,PRJNA266045,SRS735204,SAMN03158666,GEO,DOI: 10.1073/pnas.1424042112,25964336
SRR1636963,SRR1636963,SRP049449,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H7,112.0,7.0,20341959.0,18256229.0,361447.0,14476371.0,14459132.0,942.0,16092.0,722300.0,68592.0,607504.0,771510.0,470862.0,131982.0,991016.0,SRX749226,PRJNA266045,SRS735205,SAMN03158681,GEO,DOI: 10.1073/pnas.1424042112,25964336
SRR1636964,SRR1636964,SRP049449,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H7,112.0,7.0,8456153.0,7447433.0,199920.0,5715229.0,5707401.0,760.0,6505.0,326694.0,24482.0,261079.0,339607.0,217297.0,56909.0,499631.0,SRX749227,PRJNA266045,SRS735206,SAMN03158684,GEO,DOI: 10.1073/pnas.1424042112,25964336
SRR1636965,SRR1636965,SRP049449,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H7,112.0,7.0,19888247.0,16927318.0,2152013.0,4966831.0,4935930.0,807.0,8908.0,3503043.0,23224.0,501994.0,4117158.0,682144.0,805620.0,2318396.0,SRX749228,PRJNA266045,SRS735207,SAMN03158670,GEO,DOI: 10.1073/pnas.1424042112,25964336
SRR1636966,SRR1636966,SRP049449,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H7,112.0,7.0,2742320.0,2012993.0,424097.0,303476.0,299770.0,353.0,527.0,360832.0,905.0,40023.0,805819.0,123939.0,112327.0,265145.0,SRX749229,PRJNA266045,SRS735208,SAMN03158677,GEO,DOI: 10.1073/pnas.1424042112,25964336
SRR1636967,SRR1636967,SRP049449,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H7,112.0,7.0,1841393.0,1216603.0,202255.0,392262.0,390532.0,372.0,882.0,172047.0,759.0,61064.0,242356.0,149230.0,66804.0,131199.0,SRX749230,PRJNA266045,SRS735209,SAMN03158678,GEO,DOI: 10.1073/pnas.1424042112,25964336
SRR1636968,SRR1636968,SRP049449,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Embryonic_stem_cell_H7,112.0,7.0,10697958.0,9320469.0,513214.0,4796858.0,4785982.0,757.0,14450.0,1329998.0,8391.0,826567.0,689290.0,587048.0,172644.0,895223.0,SRX749231,PRJNA266045,SRS735210,SAMN03158687,GEO,DOI: 10.1073/pnas.1424042112,25964336
SRR10953237,SRR10953237,SRP243960,Illumina HiSeq 2500,miRNA-Seq,RANDOM PCR,Immune,No,CD4_lymphocyte,60.0,4.0,53919231.0,52221108.0,3066052.0,5930232.0,5917191.0,655.0,31394.0,1425569.0,92091.0,9595828.0,21444784.0,6381663.0,820482.0,6499065.0,SRX7619760,PRJNA602725,SRS6052117,SAMN13905672,FREDERICK NATIONAL LABORATORY FOR CANCER RESEARCH,-,-
SRR7074684,SRR7074684,SRP143502,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Endothelial,No,Endothelial_cell_umbilical_vein,12.0,20.0,69828710.0,50740873.0,2302610.0,31444125.0,31113981.0,1131.0,41894.0,3585323.0,537839.0,780181.0,5745399.0,1221978.0,487383.0,6896751.0,SRX4004454,PRJNA454005,SRS3226317,SAMN08995897,GEO,DOI: 10.1038/s41526-020-00108-6,32821776
SRR10259197,SRR10259197,SRP225116,NextSeq 500,miRNA-Seq,size fractionation,Platelet,No,Platelet,33.0,30.0,10498730.0,10416396.0,309377.0,5392543.0,5378221.0,620.0,7242.0,86490.0,233.0,2779.0,227539.0,4330657.0,22005.0,346908.0,SRX6977069,PRJNA576924,SRS5502308,SAMN13014917,GEO,DOI: 10.3389/fcvm.2020.00031,32266291
SRR10953238,SRR10953238,SRP243960,Illumina HiSeq 2500,miRNA-Seq,RANDOM PCR,Immune,No,CD4_lymphocyte,60.0,4.0,59108637.0,57796538.0,3909658.0,5260962.0,5246760.0,632.0,42125.0,1604318.0,114182.0,12487128.0,23775174.0,5960013.0,1028718.0,7523918.0,SRX7619759,PRJNA602725,SRS6052115,SAMN13905671,FREDERICK NATIONAL LABORATORY FOR CANCER RESEARCH,-,-
SRR10953239,SRR10953239,SRP243960,Illumina HiSeq 2500,miRNA-Seq,RANDOM PCR,Immune,No,CD4_lymphocyte,60.0,4.0,61704152.0,59554195.0,4254451.0,8780723.0,8758495.0,672.0,44416.0,1584650.0,173467.0,12473816.0,21782969.0,6126244.0,952151.0,7635759.0,SRX7619758,PRJNA602725,SRS6052113,SAMN13905670,FREDERICK NATIONAL LABORATORY FOR CANCER RESEARCH,-,-
SRR10259196,SRR10259196,SRP225116,NextSeq 500,miRNA-Seq,size fractionation,Platelet,No,Platelet,33.0,30.0,9205302.0,9116780.0,314265.0,5203309.0,5184653.0,637.0,6317.0,97647.0,175.0,3167.0,255753.0,3202631.0,26521.0,321260.0,SRX6977068,PRJNA576924,SRS5502307,SAMN13014918,GEO,DOI: 10.3389/fcvm.2020.00031,32266291
SRR10259195,SRR10259195,SRP225116,NextSeq 500,miRNA-Seq,size fractionation,Platelet,No,Platelet,33.0,30.0,7689356.0,7601173.0,282120.0,4386075.0,4373411.0,626.0,6555.0,60009.0,243.0,4237.0,238310.0,2571189.0,18704.0,315851.0,SRX6977067,PRJNA576924,SRS5502306,SAMN13014919,GEO,DOI: 10.3389/fcvm.2020.00031,32266291
SRR10259198,SRR10259198,SRP225116,NextSeq 500,miRNA-Seq,size fractionation,Platelet,No,Platelet,33.0,30.0,13702300.0,13585839.0,327914.0,10092827.0,10062371.0,757.0,11203.0,112927.0,417.0,5774.0,192408.0,2838856.0,13751.0,317676.0,SRX6977070,PRJNA576924,SRS5502309,SAMN13014916,GEO,DOI: 10.3389/fcvm.2020.00031,32266291
SRR5760166,SRR5760166,SRP110580,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,Mononuclear_immune_cell,107.0,11.0,10735470.0,10735470.0,168581.0,5102786.0,5092962.0,486.0,4988.0,368013.0,165.0,131438.0,1705705.0,1809945.0,93150.0,1519280.0,SRX2960002,PRJNA392043,SRS2317014,SAMN07280837,GEO,DOI: 10.3389/fimmu.2017.00851,28791012
SRR8428663,SRR8428663,SRP178219,Illumina MiSeq,miRNA-Seq,size fractionation,Immune,No,Mononuclear_immune_cell,142.0,11.0,3466083.0,3123481.0,95197.0,2010336.0,2008534.0,579.0,1930.0,56874.0,550.0,327465.0,102036.0,456146.0,14236.0,153908.0,SRX5236489,PRJNA514238,SRS4239564,SAMN10721589,GEO,DOI: 10.3390/cells8020133,30743997
ERR3365903,ERR3365903,ERP115700,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Mononuclear_immune_cell,144.0,11.0,7429184.0,7429184.0,1003516.0,1973032.0,1960700.0,616.0,3426.0,1249643.0,914.0,1006587.0,1053125.0,604163.0,619774.0,918520.0,ERX3390191,PRJEB32955,ERS3506514,SAMEA5702857,Centre for Genomic Regulation,DOI: 10.3390/jcm8060849,31207946
SRR5998751,SRR5998751,SRP131341,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,Macrophage,104.0,11.0,10919328.0,10919271.0,343867.0,8164432.0,8136645.0,816.0,16789.0,702808.0,8715.0,240682.0,859342.0,177249.0,97713.0,651541.0,SRX3154230,PRJNA401712,SRS2486065,SAMN07594534,GEO,DOI: 10.1016/j.celrep.2017.09.030,28978468
ERR3365886,ERR3365886,ERP115700,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Mononuclear_immune_cell,144.0,11.0,10977634.0,10977634.0,441174.0,3951120.0,3940552.0,783.0,5390.0,633958.0,3441.0,1435920.0,2587442.0,1648849.0,167275.0,544239.0,ERX3390174,PRJEB32955,ERS3506497,SAMEA5702840,Centre for Genomic Regulation,DOI: 10.3390/jcm8060849,31207946
ERR3365889,ERR3365889,ERP115700,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Immune,No,Mononuclear_immune_cell,144.0,11.0,7730478.0,7730478.0,508203.0,2071135.0,2060829.0,634.0,3112.0,459509.0,1048.0,555315.0,3196777.0,519998.0,241404.0,682180.0,ERX3390177,PRJEB32955,ERS3506500,SAMEA5702843,Centre for Genomic Regulation,DOI: 10.3390/jcm8060849,31207946
ERR2938259,ERR2938259,ERP112400,NextSeq 500,miRNA-Seq,size fractionation,Immune,No,T_lymphocyte,45.0,4.0,19319103.0,18691867.0,1183071.0,4938419.0,4915100.0,702.0,24168.0,966341.0,56119.0,4127339.0,4532656.0,1537496.0,169724.0,2339605.0,ERX2941052,PRJEB30028,ERS2952658,SAMEA5144909,Exiqon,DOI: 10.1016/j.neo.2019.01.004,30763910
SRR5998750,SRR5998750,SRP131341,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,Macrophage,104.0,11.0,10617529.0,10617488.0,477207.0,7782189.0,7759595.0,808.0,14834.0,770996.0,9669.0,265465.0,784075.0,208461.0,87726.0,694073.0,SRX3154229,PRJNA401712,SRS2486064,SAMN07594535,GEO,DOI: 10.1016/j.celrep.2017.09.030,28978468
DRR063230,DRR063230,DRP003770,Illumina MiSeq,miRNA-Seq,size fractionation,Immune,No,Lymphocyte,1.0,4.0,1757543.0,1435504.0,180538.0,696513.0,688958.0,428.0,1502.0,229030.0,1358.0,71926.0,71687.0,143907.0,58703.0,160878.0,DRX057471,PRJDB4936,DRS049212,SAMD00053892,NIID,DOI: 10.1038/s41598-017-10684-5,28860565
SRR6246354,SRR6246354,SRP123465,NextSeq 500,miRNA-Seq,size fractionation,Epithelial,No,Keratinocyte,136.0,28.0,8585422.0,6242022.0,489011.0,225949.0,217646.0,437.0,1279.0,2327798.0,2204.0,69644.0,2471159.0,127300.0,115253.0,901436.0,SRX3353428,PRJNA416912,SRS2652628,SAMN07967394,GEO,DOI: 10.3389/fendo.2018.00535,30258405
SRR6246355,SRR6246355,SRP123465,NextSeq 500,miRNA-Seq,size fractionation,Epithelial,No,Keratinocyte,136.0,28.0,8767603.0,6366588.0,501847.0,229798.0,221389.0,447.0,1335.0,2361659.0,2220.0,70556.0,2527334.0,130217.0,117710.0,925759.0,SRX3353428,PRJNA416912,SRS2652628,SAMN07967394,GEO,DOI: 10.3389/fendo.2018.00535,30258405
